제품명,상세 항목 및 요약,사용자 수 / 정보밀도,긍정 소분류 (Top 5),부정 소분류 (Top 5),종합 만족도,평균 점수
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,복합성,89명,"추천/재구매 (32)
자극/부작용 (20)
순함/저자극 (18)
유분/피지 (18)
상황/편의 (10)","자극/부작용 (5)
유분/피지 (4)
트러블/모공 (3)
상황/편의 (2)
추천/재구매 (2)",만족,0.9
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,봄웜톤,36명,"자극/부작용 (11)
추천/재구매 (10)
순함/저자극 (7)
유분/피지 (6)
상황/편의 (5)","유분/피지 (4)
상황/편의 (3)
자극/부작용 (2)
트러블/모공 (2)
흡수/발림성 (1)",만족,0.76
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,블랙헤드,53명,"추천/재구매 (17)
순함/저자극 (11)
유분/피지 (11)
자극/부작용 (9)
상황/편의 (9)","유분/피지 (3)
상황/편의 (2)
자극/부작용 (2)
추천/재구매 (1)
트러블/모공 (1)",만족,0.86
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,아토피,5명,"자극/부작용 (3)
상황/편의 (3)
순함/저자극 (2)
유분/피지 (2)
추천/재구매 (1)",-,만족,1.38
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,약건성,9명,"추천/재구매 (7)
자극/부작용 (4)
순함/저자극 (3)
진정/장벽 (2)
상황/편의 (1)",-,매우만족,1.53
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,여름쿨톤,69명,"추천/재구매 (26)
자극/부작용 (22)
순함/저자극 (14)
트러블/모공 (13)
유분/피지 (13)","트러블/모공 (3)
추천/재구매 (2)
흡수/발림성 (2)
상황/편의 (2)
유분/피지 (2)",만족,1.22
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,웜톤,43명,"추천/재구매 (16)
순함/저자극 (10)
자극/부작용 (10)
유분/피지 (6)
상황/편의 (6)","트러블/모공 (1)
흡수/발림성 (1)
유분/피지 (1)
상황/편의 (1)",만족,1.05
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,잡티,89명,"자극/부작용 (26)
추천/재구매 (25)
순함/저자극 (16)
유분/피지 (16)
상황/편의 (9)","트러블/모공 (3)
상황/편의 (3)
순함/저자극 (2)
추천/재구매 (2)
자극/부작용 (2)",만족,1.11
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,재구매,126명,"추천/재구매 (70)
자극/부작용 (29)
유분/피지 (24)
순함/저자극 (22)
상황/편의 (19)","유분/피지 (1)
자극/부작용 (1)
트러블/모공 (1)",매우만족,1.68
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,정보없음,513명,"추천/재구매 (174)
자극/부작용 (112)
유분/피지 (86)
순함/저자극 (85)
상황/편의 (66)","트러블/모공 (14)
자극/부작용 (8)
유분/피지 (5)
상황/편의 (3)
추천/재구매 (1)",만족,1.13
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,주름,20명,"추천/재구매 (9)
자극/부작용 (8)
순함/저자극 (5)
상황/편의 (5)
가성비/가격 (4)",-,매우만족,1.56
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,중성,3명,"상황/편의 (2)
자극/부작용 (2)",-,만족,1.2
