날짜,별점,스킨타입,태그,리뷰내용
2025.12.03,5점,,,올리브영 행사 때 많이 사는 편이에요.평소보다 할인도 많이 들어가고 쿠폰도 쓸수 있어서 너무 좋아요
2025.12.03,5점,,,"아누아는 정말 언제나 잘 사용하는거 같아요
자극적이지 않고 유분도 없어서 좋아요"
2025.12.03,5점,,"한달이상사용, 재구매",이거 아주 순한거 같아요 !! 선물해줬는데 안끈적해서 너무 좋아해요
2025.12.02,3점,,,별로였어요 좋긴좋은데 순해요 그냥 무난한 가격이 돈이 좀 아까웠다 그래도 무난하게 쓰기에는 진짜괜찮았습니다
2025.12.02,5점,,한달이상사용,무난하게 잘 쓰고 있어요 산뜻한 타입이라 이것만 바르면 보습이 좀 덜 되는 느낌이라 여름이나 화장하기 전에만 씀
2025.12.01,5점,"복합성, 웜톤, 미백, 주름",한달이상사용,한달동안 사용하고있는데 정말 잘 사용하고있는 제품이에요 다쓰면 또 재구매예정템입니다
2025.11.30,5점,"복합성, 여름쿨톤, 잡티, 미백",,엄청 순해요 드라마틱한 느낌은 없지만 무난템으로 들고 있기 좋은?
2026.01.05,5점,"민감성, 쿨톤, 잡티, 트러블",한달이상사용,자극은 없고 무난하게 아침 스킨케어로 사용해요 쫀쫀함 나름
2026.01.05,5점,"지성, 쿨톤, 트러블, 블랙헤드",,4계절 내내 계속 꾸준히 쓰기 좋은 스킨제어 제품입니다!!
2026.01.04,5점,,한달이상사용,그냥 순하고 자극없는 수딩로션 같은 느낌이에용 이거바르고 자면 피부 좋아짐 근데 건조함
2026.01.04,5점,,,수부지인데 이렇게 딱 맞는 로션은 처음입니다 ㅠ 건조하지도 않고 기름지지도않고 딱입니다!!!!!! 수부지 개추!!!
2026.01.04,5점,,,발랐을 때 건조하지 않아서 좋아요! 끈적거림도 이전에 사용했던 로션보다 덜해서 잘 사용중입니다!!
2026.01.03,5점,,,겨울에 복합성인데도 속건조가 심해져서 수분로션 발랐는데 엄청 촉촉해지고 화장도 잘먹어서 속광이 나요
2026.01.02,5점,,한달이상사용,아누아답게 무난하고 순하고 좋아요! 겨울에도 쓰기 좋을 것 가타요
2026.01.02,5점,,,건성인 피부에 적합한듯 해요. 특히 요즘처럼 건조한 겨울에는 필수템으로 여겨집니다.
2026.01.02,5점,,재구매,두통째 사용중인데 정말 그냥 무난하게 사용할수있는 제품이에요. 다만 얼굴이 너무너무 민감해서 빨개진날은 살짝 따가울수있어요
2026.01.01,5점,,재구매,굿굿 다른거에 비해 가벼워서 좋앗는디 이제 나이 드니까 살짝 건조
2025.11.27,5점,,재구매,아누아 토너 사 봤는데 잘 맞아서 로션이랑 토너 패드도 같이 샀어요!
2025.11.27,5점,"지성, 쿨톤, 잡티, 미백",한달이상사용,번들거리지않고 촉촉한데 산뜻하게 발려서 좋아요 ㅎㅎ 두번째 구매입니다
2025.11.27,5점,,한달이상사용,자극도 별로 없는 것 같고 양도 많아서 넘 좋아요 만족합니다!
2025.11.25,5점,,,"예비군 훈련 온 오빠에게 선물류 주었습니다.
순하고 좋습니다."
2025.11.25,5점,,,"몇 년째 아빠와 남동생이 사용하고 있어요.
일단 향이 무향이여서 좋다고 하고 끈적거리지 않아서 좋다고 해요.
진정효과도 있어서 꾸준히 사용하고 있어요."
2025.11.24,4점,"약건성, 트러블, 민감성",한달이상사용,추워지는 계절에 로션이 필요해서 구매했는데 건성인에게는 가볍네요ㅠ 트러블 안나고 발림성이 넘 좋았는데 아쉬워요
2025.11.24,5점,,,"사춘기 여드름피부에도 부담없이 순하게
바르기 좋아요. 발림성도 좋고 자극없어요"
2025.11.24,5점,,한달이상사용,데일리하개 쓰기 좋은 것 같아요! 추천합니다! 저는 매장에서 구매했어요
2025.11.22,5점,"트러블성, 겨울쿨톤, 잡티, 트러블",,효과는 그저그런데 여름에 가볍게 쓰기에는 좋은 거 같어요! 토너는 진정효과 있는데 로션은..
2025.11.22,4점,,한달이상사용,"여름엔 유분막같은게 생겨서 못썻다가 수부지에 가까운 복합상기준 겨울되니까 아예 유분도 안 느껴지고 잘 씁니다
진정은 모르겠고 보습감은 괜찮아요"
2025.11.21,5점,,,남자친구가 꾸준히 재구매해서 사용하는 제품이에요 이것만 씀
2025.11.21,5점,"여름쿨톤, 미백, 트러블",,"매일 사용하기 부담없는듯해요
엄마가 계속 이것만 사용하셔서...ㅎㅎ"
2025.11.19,5점,,한달이상사용,아누아꺼는 원래 다른 세럼을 사용해봤을 때 효과가 너무 좋아서 사용해봤는데 믿고 쓸만해요!
2025.11.18,5점,,한달이상사용,자극 없이 순하고 촉촉하고 양도 많아요! 보습도 잘 되고 복합성 건성 좋아요
2025.11.17,5점,"중성, 웜톤, 다크서클","한달이상사용, 재구매",한번쓰고 재구매했어요 무난하고 막 바르기젛아서 계속 써요
2025.11.17,5점,,,세안후 가볍게 바르려고 구맨한 제품인데 생각만큼 가볍지는 않아요
2025.11.17,5점,건성,재구매,진짜 이름 그대로 딱 데일리 로션 같아용!! 별로 제 취향은 아니었는데 남다띵구는 이것만 고집해서 쓰더라구요 본인 피부가 너무 예민하다 싶으면 이거 한 번 써보세용 조은 것 같습니당
2025.11.16,5점,"지성, 여름쿨톤, 잡티, 미백",한달이상사용,얼굴에 쓰는 것 치고는 양이 많아서 좋아요. 별로 안 유명한 것 같은데 ㄱㅊ았어요
2025.11.16,5점,"건성, 겨울쿨톤, 미백, 각질",한달이상사용,"여드름 올라오거나 피부안좋을때 항상 뷰티디바이스랑 같이 사용하는데 여드름 거의 없어져서 없으면 불안한템이구
매장 찾아다니몀사 구매할정도로 애정합니댜"
2025.11.10,4점,,,펌핑타입이라 쓰기가 편해요. 보습이랑 진정 어느정도 됩니다
2025.11.09,5점,,,"부모님 사드렸는데 또 사달라고하시네요
만족하신대요 순하고 부담없이 쓰시고 좋대요"
2025.11.09,3점,"트러블성, 웜톤, 잡티, 트러블",한달이상사용,가볍게 발림성 좋은 로션이어서 여름에 잘 썼어요 환절기에 바르기에는 수부지는 살짝 속당김이 있어요
2025.11.09,5점,,,사용 후 피부가 부드럽고 생기기 있어졌어요. 매끄러워요 추천 드려요 ㅎㅎ!!
2025.11.08,5점,"민감성, 봄웜톤, 블랙헤드",,아누아꺼 제품 무난무난 나쁘지 않았던게 많아서 이번에 로션도 구매 했슴당 촉촉하니 괜춘 한 거 같아요
2025.11.08,5점,,한달이상사용,이 로션 데일리로 쓰기 너무 좋고 진정도 잘돼서 가볍게 쓰기 좋어요
2025.11.07,5점,,,"진짜 순하고 딱 발랐을 땐 좀 촉촉한 것 같은데 몇 분 있으면 건조해져서 위에 크림 하나 더 바르시는 걸 추천드려요!
그리고 여드름 진정에 진짜 좋아용 흔적 세럼도 같이 쓰고 있는데 흉터+여드름 관리 돼서 너무 좋음…🩷"
2025.11.07,3점,,한달이상사용,아니 이거 저번에 스킨 사고 사은품으로 딸려올ㄹ때 넘. 좋아서 큰걸로 산건데 유ㅐ 이건 또 그닥 그러팅..
2025.11.06,5점,,재구매,가벼운 사용감이 아주 만족스럽습니다. 무겁지 않아 좋아요 추천 드려요 ㅎㅎ!!
2025.11.06,5점,,재구매,피부 결이 매끈해져서 좋아요. 촉촉해졌어요 추천 드려요 ㅎㅎ!!
